n_train,Acc_2Nm_mean,Acc_2Nm_std,F1_2Nm_mean,F1_2Nm_std,Prec_2Nm_mean,Prec_2Nm_std,Recall_2Nm_mean,Recall_2Nm_std,Acc_4Nm_mean,Acc_4Nm_std,F1_4Nm_mean,F1_4Nm_std,Prec_4Nm_mean,Prec_4Nm_std,Recall_4Nm_mean,Recall_4Nm_std
5,0.440875,0.12013527531495484,0.4227577202187892,0.119966547831827,0.44644376624967874,0.13331121239271004,0.440875,0.12013527531495487,0.4178125,0.09974183472219668,0.39702412355978434,0.10498600407049265,0.4161559831736674,0.12471936823118673,0.41781250000000003,0.09974183472219668
6,0.5713125,0.11544639922383894,0.5664502712072309,0.10751434448708648,0.5957492479723205,0.10838455285587731,0.5713125,0.11544639922383895,0.5415625,0.12266785375048346,0.5347583073880138,0.11236960240764735,0.5727081555132685,0.11608593137102458,0.5415625000000001,0.1226678537504835
7,0.6268125,0.11624944556319398,0.6096749811030591,0.1029444258775338,0.6312932258711818,0.11307839755451064,0.6268125,0.11624944556319397,0.58525,0.11513226090023596,0.5617771946981279,0.08898136805262835,0.60093970984914,0.10199855746577079,0.58525,0.11513226090023594
8,0.7294375,0.10411635243202674,0.7118481548606377,0.11235177338386858,0.7411923377043577,0.11342897611425921,0.7294375,0.10411635243202673,0.7070625,0.09631440621085717,0.6888232029677965,0.10457172847335494,0.731294844569238,0.11335491186709225,0.7070624999999999,0.09631440621085717
9,0.670125,0.08865937274197239,0.6625904029088041,0.09372562546199917,0.6789505139315704,0.09289460448837078,0.670125,0.08865937274197237,0.6379375,0.07562590392021769,0.6276544774347276,0.07967858864468433,0.6541871012693,0.0883076560255492,0.6379375,0.0756259039202177
10,0.78675,0.05571130944431301,0.7793258668833156,0.05938699066379572,0.8006970799903155,0.052470827569043,0.7867500000000001,0.055711309444313045,0.7548750000000001,0.051324792985456856,0.7409387100307372,0.05991958697432959,0.7697305528732713,0.054672743622155955,0.7548750000000001,0.05132479298545685
11,0.7661250000000001,0.07442015436022692,0.7584342444343815,0.07975724703908757,0.7700278963029461,0.07696657480650339,0.766125,0.07442015436022693,0.7154375,0.07712467078535894,0.7049051526575095,0.08354574124338715,0.723795190708353,0.0859188432965452,0.7154375000000001,0.07712467078535895
12,0.78325,0.09263942195415514,0.7740111178556115,0.10270018007689821,0.7949467324285922,0.08527298332126594,0.78325,0.09263942195415512,0.7455625,0.090409981991758,0.7347948748742573,0.09827435313617888,0.7609407542059623,0.08356594568925398,0.7455625,0.09040998199175797
13,0.7755,0.06803813269042587,0.7763661420271694,0.07035746066652539,0.7964611297250324,0.06561935248868615,0.7755,0.0680381326904259,0.7285625,0.05544954773260106,0.7298256066874523,0.05590445683928928,0.7647997176531672,0.04845845460426354,0.7285625,0.05544954773260106
14,0.8194375,0.13038654970413935,0.8145065528956501,0.1366457166680383,0.826426727106087,0.1287777262459851,0.8194375,0.13038654970413938,0.7981875,0.13341943671650694,0.7933248245966263,0.13891899562782054,0.806649232021952,0.13457640097819276,0.7981875,0.1334194367165069
